Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
8,1500,,25.0,25.0,,51400.0,52922.0,500.0,500.0,2,,1.0,1.0,3.0,94109,133593577549
8,1455,,22.0,22.0,,15000.0,15000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1516639394002
8,400,,,5.0,,3900.0,4500.0,0.0,40.0,2,,,1.0,9.0,94103,1339000158058
8,1738,,,3.0,,10000.0,20000.0,,1.0,2,,,5.0,8.0,94131,1335640454366
8,580,0.0,23.0,23.0,,2000.0,2000.0,,,2,,1.0,1.0,3.0,94104,1517667296596
8,415,,63.0,63.0,,71150.0,48670.0,,,2,,1.0,1.0,6.0,94105,1521797495332
8,1101,,8.0,8.0,,190000.0,430000.0,315.0,315.0,2,,1.0,1.0,6.0,94158,1518578475573
8,415,,61.0,61.0,,1000.0,1000.0,,,2,,1.0,1.0,6.0,94105,1521362495332
8,4,,45.0,45.0,,38000.0,38000.0,,,2,,1.0,1.0,3.0,94111,151892463351
8,333,,33.0,33.0,,1400000.0,1930000.0,,,2,,1.0,1.0,6.0,94105,1521289164589
8,455,,23.0,23.0,,80000.0,95000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1517437164576
8,1998,,,9.0,,50000.0,56400.0,0.0,114.0,2,,,1.0,8.0,94102,1343038388168
8,1489,,14.0,14.0,,30000.0,30000.0,156.0,156.0,2,,1.0,1.0,5.0,94115,151346079983
8,3418,1.0,,5.0,,1000.0,1000.0,0.0,11.0,2,,,5.0,9.0,94110,1332403496615
8,1,,40.0,40.0,,19000.0,19000.0,,,2,,1.0,1.0,3.0,94126,151361363347
8,286,,5.0,5.0,,1.0,200.0,36.0,36.0,2,,5.0,5.0,9.0,94103,1513941381413
8,255,,16.0,16.0,,15000.0,15000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,151379266077
8,949,,3.0,3.0,,10000.0,38307.0,12.0,12.0,2,,5.0,5.0,5.0,94117,1513648237424
8,230,,2.0,2.0,,20000.0,20000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1335322165163
8,112,,5.0,5.0,,4000.0,10000.0,155.0,155.0,2,,3.0,3.0,6.0,94103,1334258249170
8,233,,,4.0,,5000.0,5000.0,,1.0,2,,,5.0,8.0,94131,1330110210544
8,270,,5.0,5.0,,40000.0,150000.0,0.0,0.0,2,,3.0,3.0,3.0,94108,1514326358799
8,2175,,6.0,6.0,,2990.0,2990.0,88.0,88.0,2,,1.0,1.0,8.0,94114,1515401157596
8,50,,37.0,37.0,,20000.0,20000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,133469563364
8,55,0.0,26.0,26.0,,384692.0,384692.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1515837394477
8,50,,42.0,42.0,,,6000.0,,,2,,1.0,1.0,6.0,94105,1515108164581
8,90,,16.0,16.0,,10346.0,10346.0,,,2,,1.0,1.0,6.0,94105,1515296164483
8,100,,4.0,4.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94107,1513450506103
8,77,0.0,6.0,6.0,,3000.0,3000.0,,,2,,3.0,3.0,3.0,94108,1513523300847
8,2175,,,6.0,,10000.0,10000.0,0.0,88.0,2,,,1.0,8.0,94114,1333885157596
8,250,,6.0,6.0,,18000.0,50000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,151433367008
8,415,,67.0,67.0,,3000.0,150000.0,,,2,,1.0,1.0,6.0,94105,1513588495332
8,500,0.0,10.0,10.0,,6000.0,6000.0,,,2,,1.0,1.0,6.0,94105,1507428480621
8,100,,4.0,4.0,,1429345.0,1500000.0,,,2,,1.0,1.0,6.0,94107,1497237506103
8,595,,31.0,31.0,,9000.0,9000.0,,,2,,1.0,1.0,6.0,94105,1500673164531
8,1623,,4.0,4.0,,1.0,1000.0,41.0,41.0,2,,3.0,3.0,3.0,94109,1501930271718
8,809,0.0,3.0,3.0,,135880.0,135880.0,0.0,0.0,2,,3.0,3.0,3.0,94133,1496404295660
8,415,,63.0,63.0,,680000.0,680000.0,,,2,,1.0,1.0,6.0,94105,1506188495332
8,181,,55.0,55.0,,10000.0,15000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1504087510886
8,2,,30.0,30.0,,1200.0,1200.0,,,2,,1.0,1.0,3.0,94111,149921163348
8,150,,18.0,18.0,,6500.0,6500.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1506654164642
8,475,,2.0,2.0,,15000.0,15000.0,,,2,,5.0,5.0,6.0,94103,1500519166521
8,415,,63.0,63.0,,55000.0,55000.0,,,2,,1.0,1.0,6.0,94105,1509454495332
8,303,,10.0,10.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1494604347172
8,580,,,5.0,,1.0,5000.0,,29.0,2,,,1.0,5.0,94102,149833282001
8,2169,,4.0,4.0,,18300.0,18300.0,16.0,16.0,0,,5.0,5.0,9.0,94110,1500572496457
8,1201,0.0,3.0,3.0,,21000.0,41000.0,12.0,12.0,2,,1.0,1.0,3.0,94109,1501122295379
8,839,0.0,3.0,3.0,,30600.0,30600.0,7.0,7.0,2,,5.0,5.0,5.0,94117,1511024414512
8,430,,8.0,8.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94102,1504876362207
8,3325,,2.0,2.0,,10000.0,10000.0,1.0,1.0,0,,5.0,5.0,4.0,94122,1504484111378
3,420,,,,,1.0,1.0,,,2,,,,10.0,94107,1655018508727
8,2,,8.0,8.0,,150244.0,150244.0,,,2,,2.0,2.0,6.0,94105,1497780249323
8,1730,,4.0,4.0,,5000.0,5000.0,5.0,5.0,2,,2.0,2.0,3.0,94133,150592660688
8,350,,30.0,30.0,,800000.0,800000.0,0.0,0.0,0,,1.0,1.0,6.0,94105,1500770164586
8,98,,36.0,36.0,,1100000.0,1500000.0,,,2,,1.0,1.0,3.0,94104,150108067107
8,250,,16.0,16.0,,750000.0,750000.0,,,2,,1.0,1.0,3.0,94104,149410766174
8,2001,,3.0,3.0,,500.0,634.0,,,2,,1.0,1.0,4.0,94116,1504146491959
8,301,,23.0,23.0,,11000.0,11000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1498105165667
8,650,,4.0,4.0,,9500.0,9800.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1497095167599
8,2051,,3.0,3.0,,1.0,1.0,92.0,92.0,2,,5.0,5.0,10.0,94107,1498233503727
8,1755,,19.0,19.0,,18000.0,18000.0,190.0,190.0,0,,1.0,1.0,5.0,94115,1499553502633
8,26,,3.0,3.0,,50000.0,50000.0,4.0,4.0,2,,5.0,5.0,1.0,94118,149421499519
8,1100,,10.0,10.0,,6000.0,6000.0,,,2,,1.0,1.0,3.0,94109,149850179883
8,555,,1.0,1.0,,4800.0,4800.0,,,2,,3.0,3.0,10.0,94124,1499225508077
8,2130,,4.0,4.0,,180000.0,180000.0,,,2,,5.0,5.0,1.0,94117,1507187254564
8,760,,11.0,11.0,,100000.0,100000.0,,,2,,1.0,1.0,3.0,94108,149945669778
8,621,0.0,6.0,6.0,,1.0,1.0,23.0,23.0,2,,5.0,5.0,3.0,94108,1507465297762
8,935,,10.0,10.0,,10500.0,10500.0,114.0,114.0,0,,1.0,1.0,5.0,94109,149386080328
8,181,,55.0,55.0,,1500000.0,1500000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501828510886
8,55,,5.0,5.0,,11262.0,11500.0,0.0,0.0,2,,2.0,2.0,7.0,94118,1509125488230
8,44,0.0,44.0,44.0,,18500.0,18500.0,,,2,,1.0,1.0,3.0,94104,1498543299398
8,400,,4.0,4.0,,1.0,1.0,25.0,25.0,2,,3.0,3.0,5.0,94102,1507356237585
8,1336,,7.0,7.0,,10000.0,10000.0,,,2,,1.0,1.0,2.0,94109,149631479572
8,500,0.0,11.0,11.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94105,1493240480621
8,123,,29.0,29.0,,10000.0,10000.0,,,2,,1.0,1.0,6.0,94105,1499798164644
8,299,,5.0,5.0,,9000.0,9000.0,36.0,36.0,2,,5.0,5.0,9.0,94103,1500674498873
8,575,,40.0,40.0,,20000.0,20000.0,,,2,,1.0,1.0,6.0,94105,1511916507760
8,2233,,4.0,4.0,,38256.0,71709.0,1.0,1.0,2,,5.0,5.0,2.0,94115,149374885650
8,415,,63.0,63.0,,52300.0,55000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1512249495332
8,415,,63.0,63.0,,129675.0,129675.0,,,2,,1.0,1.0,6.0,94105,1503884495332
8,2341,,3.0,5.0,,3000.0,3000.0,21.0,21.0,2,,,,2.0,94123,1495452238257
8,1,,38.0,38.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94111,1492763390418
8,415,,63.0,63.0,,106250.0,106250.0,,,2,,1.0,1.0,6.0,94105,1492317495332
8,985,,3.0,3.0,,1000.0,1000.0,3.0,3.0,2,,5.0,5.0,9.0,94110,1495399278006
8,170,35.0,4.0,4.0,,48000.0,60000.0,53.0,53.0,2,,5.0,5.0,3.0,94111,1498406500084
8,2001,,3.0,3.0,,25000.0,25000.0,0.0,0.0,2,,5.0,5.0,4.0,94116,1508129491959
8,1355,,10.0,10.0,,60000.0,60000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1507911347127
8,181,,55.0,55.0,,1.0,1.0,67.0,67.0,2,,5.0,5.0,6.0,94105,1505960510886
8,185,,6.0,6.0,,1500.0,2112.0,,,2,,1.0,1.0,6.0,94158,1492220388160
8,381,,3.0,3.0,,140000.0,200000.0,26.0,26.0,2,,3.0,3.0,5.0,94102,149946082097
8,1900,,2.0,2.0,,1000.0,700.0,0.0,0.0,2,,3.0,3.0,3.0,94109,150424875947
8,2224,,,4.0,,8000.0,20000.0,,12.0,2,,,5.0,1.0,94121,1509223460745
8,718,,,16.0,,8000.0,8000.0,,263.0,2,,,1.0,6.0,94158,1327025489351
8,233,,12.0,12.0,,7740.0,7740.0,,,2,,1.0,1.0,3.0,94104,150583866057
8,235,,31.0,31.0,,20700.0,21000.0,,,2,,1.0,1.0,3.0,94104,149413766177
8,2411,0.0,4.0,4.0,,15000.0,25000.0,12.0,12.0,2,,5.0,5.0,2.0,94115,1505372304326
8,150,,4.0,4.0,,882000.0,882000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1500798506101
8,4,,40.0,40.0,,1250.0,1250.0,,,2,,1.0,1.0,3.0,94111,149851063351
8,200,,3.0,3.0,,1.0,1.0,,,0,,1.0,1.0,10.0,94124,1493101182253
8,2350,,4.0,4.0,,12000.0,12000.0,,,2,,2.0,2.0,1.0,94118,150161189673
8,991,,1.0,1.0,,2000.0,4000.0,0.0,0.0,0,,5.0,5.0,6.0,94103,1498251165491
8,884,,4.0,4.0,,1.0,1.0,2.0,2.0,0,,5.0,5.0,2.0,94109,1509838347379
8,75,,1.0,1.0,,65000.0,65000.0,,,2,,3.0,3.0,9.0,94103,1511900157958
8,1656,,3.0,3.0,,300000.0,300000.0,36.0,36.0,2,,3.0,3.0,3.0,94133,1504002283588
8,601,301.0,4.0,4.0,,10000.0,10000.0,34.0,34.0,0,,5.0,5.0,9.0,94110,1494531494228
8,235,,25.0,25.0,,2000.0,2000.0,,,2,,1.0,1.0,3.0,94104,150112766161
8,100,,25.0,25.0,,5600.0,5500.0,,,2,,1.0,1.0,3.0,94104,1493616372147
8,400,,12.0,12.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,149609563393
8,1455,,23.0,23.0,,5000.0,5000.0,,,2,,1.0,1.0,6.0,94103,1503651394002
8,777,208.0,3.0,3.0,,200000.0,564707.0,,,2,,5.0,5.0,9.0,94110,1492181394518
8,445,,8.0,8.0,,2000.0,2000.0,,,2,,2.0,2.0,3.0,94108,1494642350491
8,181,,55.0,55.0,,1300000.0,1300000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501841510885
8,241,,14.0,14.0,,700000.0,700000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1494255385997
8,181,,55.0,55.0,,1.0,1.0,67.0,67.0,2,,5.0,5.0,6.0,94105,1505952510885
8,180,,25.0,25.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94104,149487967090
8,720,0.0,4.0,4.0,,1000.0,1000.0,18.0,18.0,2,,5.0,5.0,3.0,94108,1494221298140
8,121,,25.0,25.0,,28000.0,62708.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1501554436366
8,106,,3.0,3.0,,28000.0,44000.0,18.0,18.0,2,,5.0,5.0,8.0,94114,1504324157460
8,121,,24.0,24.0,,1147000.0,1147000.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1500721436366
8,900,534.0,2.0,2.0,,21081.0,21100.0,54.0,54.0,2,,3.0,3.0,2.0,94109,1507724501832
8,1549,,1.0,1.0,,4000.0,5500.0,0.0,0.0,2,,5.0,5.0,3.0,94109,1496680361617
8,2675,,4.0,4.0,,1.0,50000.0,,,2,,1.0,1.0,2.0,94115,149808989456
8,900,534.0,7.0,7.0,,85000.0,85000.0,54.0,54.0,2,,4.0,4.0,2.0,94109,1497460501832
8,40,,3.0,3.0,,50000.0,50000.0,2.0,2.0,2,,5.0,5.0,8.0,94114,1506747139617
8,855,527.0,8.0,8.0,,20000.0,22347.0,187.0,187.0,0,,1.0,1.0,6.0,94107,1505230395488
8,1259,0.0,4.0,4.0,,1.0,1.0,3.0,3.0,2,,5.0,5.0,3.0,94109,1511949295403
8,1174,,,6.0,,5000.0,5000.0,,42.0,2,,,3.0,6.0,94103,1500338165255
8,150,,18.0,18.0,,1250.0,2068.0,,,2,,1.0,1.0,6.0,94105,1500126164642
8,388,,26.0,26.0,,4000.0,4000.0,63.0,63.0,2,,1.0,1.0,3.0,94111,1492870233366
8,475,0.0,20.0,20.0,,2000.0,2150.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1501761296673
8,150,,18.0,18.0,,89000.0,89000.0,,,2,,1.0,1.0,6.0,94105,1496316164642
8,44,0.0,44.0,44.0,,18500.0,31020.0,,,2,,1.0,1.0,3.0,94104,1498541299398
8,201,,12.0,12.0,,200000.0,200000.0,,,2,,1.0,1.0,6.0,94103,1499542347067
8,1819,,4.0,4.0,,38000.0,38000.0,16.0,16.0,2,,3.0,3.0,5.0,94115,1501106239652
8,393,,3.0,3.0,,58000.0,69800.0,26.0,26.0,2,,5.0,5.0,5.0,94102,1496430504466
8,10,,,3.0,,3600.0,3600.0,,31.0,2,,,5.0,10.0,94124,1494402493649
8,1099,17.0,4.0,4.0,,1840.0,15000.0,20.0,20.0,0,,5.0,5.0,10.0,94107,1495186482602
8,1201,,4.0,4.0,,1400.0,1400.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1506684373860
8,625,,4.0,4.0,,50000.0,240000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1499942167843
8,3900,3.0,,,,1.0,1.0,,,0,,,,1.0,94118,149631896728
8,555,0.0,52.0,52.0,,600000.0,600000.0,,,2,,1.0,1.0,3.0,94104,1503870298587
8,1,1.0,9.0,9.0,,3000.0,3000.0,239.0,239.0,2,,1.0,1.0,2.0,94109,151135479578
8,1321,,3.0,3.0,,1.0,1.0,8.0,8.0,2,,5.0,5.0,3.0,94133,1496406230566
3,2423,,,4.0,,81000.0,197000.0,0.0,12.0,2,,,5.0,9.0,94103,1325250489972
8,650,0.0,33.0,33.0,,2100.0,2100.0,,,2,,1.0,1.0,3.0,94108,1499063296980
8,2341,,4.0,4.0,,20000.0,20000.0,21.0,21.0,2,,5.0,5.0,2.0,94123,1505080238257
8,555,,21.0,21.0,,12000.0,0.0,,,2,,1.0,1.0,6.0,94105,1501618507761
8,181,,55.0,55.0,,1300000.0,1300000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1501840510886
8,250,,16.0,16.0,,750000.0,750000.0,,,2,,1.0,1.0,3.0,94104,149410966176
8,425,,38.0,38.0,,7150.0,7150.0,,,2,,1.0,1.0,6.0,94105,1497612164577
8,847,,3.0,3.0,,79100.0,79100.0,6.0,6.0,2,,5.0,5.0,5.0,94117,151100091465
8,425,,38.0,38.0,,180000.0,180000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1499096164577
8,98,,2.0,2.0,,9000.0,9000.0,,,2,,2.0,2.0,7.0,94127,1499257147424
8,560,,31.0,31.0,,30000.0,30000.0,,,2,,1.0,1.0,6.0,94105,1493558454613
8,2620,,4.0,4.0,,24000.0,58996.0,3.0,3.0,2,,5.0,5.0,2.0,94115,1504334235592
8,315,0.0,17.0,17.0,,7000.0,7000.0,,,2,,1.0,1.0,3.0,94104,1495336298474
8,953,,2.0,2.0,,30000.0,42000.0,,,2,,3.0,3.0,10.0,94107,1497509170878
8,61,,2.0,2.0,,70000.0,70000.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1506995369593
8,1420,,15.0,15.0,,18000.0,18000.0,142.0,142.0,0,,1.0,1.0,5.0,94115,1499551366050
8,1061,0.0,3.0,3.0,,7600.0,0.0,3.0,3.0,2,,5.0,5.0,5.0,94117,1500953417984
8,555,0.0,52.0,52.0,,14000.0,14000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1502162298587
8,1950,,5.0,5.0,,20000.0,20000.0,,,2,,5.0,5.0,3.0,94133,150903656383
8,120,,2.0,2.0,,3500.0,3500.0,1.0,1.0,0,,5.0,5.0,2.0,94123,150355571025
8,400,102.0,3.0,3.0,,24750.0,24750.0,18.0,18.0,0,,5.0,5.0,2.0,94123,149497570496
8,88,,22.0,22.0,,8852.0,8852.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1497974495356
8,850,0.0,5.0,5.0,,1.0,1.0,24.0,24.0,0,,5.0,5.0,3.0,94109,1496561413740
8,35,,2.0,2.0,,145000.0,145000.0,,,2,,5.0,5.0,11.0,94112,1497088468965
3,1636,,,,,85000.0,230000.0,,,2,,,,8.0,94131,1147123227410
8,305,,6.0,6.0,,15275.0,15275.0,38.0,38.0,0,,5.0,5.0,5.0,94109,148125969883
8,123,,29.0,29.0,,27300.0,40000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1489731164644
8,550,,2.0,2.0,,250000.0,175000.0,,,2,,3.0,3.0,3.0,94111,1489334495012
8,2341,,4.0,4.0,,15000.0,15000.0,0.0,0.0,2,,2.0,2.0,10.0,94107,1480882498917
8,1455,,22.0,22.0,,18150.0,18150.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1486645394002
8,988,1.0,9.0,9.0,,50000.0,50000.0,,,2,,1.0,1.0,5.0,94102,1491310507370
8,3430,,3.0,3.0,,150000.0,180000.0,1.0,1.0,2,,5.0,5.0,2.0,94123,148691484098
8,200,,4.0,4.0,,5000.0,30000.0,,,2,,1.0,1.0,5.0,94102,1490977371622
8,450,,26.0,26.0,,25290.0,25290.0,0.0,0.0,2,,1.0,1.0,3.0,94108,148784966980
8,855,,5.0,5.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1485572349422
8,165,,6.0,6.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,3.0,94102,149150569772
8,301,,6.0,6.0,,1.0,1.0,,,2,,2.0,2.0,6.0,94107,1489096167833
8,2,,3.0,3.0,,2500.0,2500.0,0.0,0.0,2,,2.0,2.0,6.0,94105,1482892167102
8,1201,,4.0,4.0,,68670.0,68670.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1484263373860
8,50,,2.0,2.0,,53000.0,0.0,1.0,1.0,2,,5.0,5.0,7.0,94131,1483064212803
8,415,,62.0,62.0,,4280.0,4280.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1484079495332
8,2800,,4.0,4.0,,8000.0,10000.0,,,2,,3.0,3.0,3.0,94133,148124456169
8,500,,2.0,2.0,,1.0,1.0,,,2,,5.0,5.0,2.0,94109,1484682499191
8,499,,6.0,6.0,,3000.0,10974.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1483844501066
8,275,0.0,30.0,30.0,,25080.0,25100.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1479886296686
8,77,,2.0,2.0,,15000.0,15000.0,1.0,1.0,2,,5.0,5.0,2.0,94118,148481587900
8,275,0.0,30.0,30.0,,2000.0,1000.0,,,2,,1.0,1.0,3.0,94104,1483542296686
8,2629,,3.0,3.0,,55000.0,55000.0,1.0,1.0,0,,5.0,5.0,2.0,94123,148402274406
8,233,0.0,12.0,12.0,,39960.0,39960.0,,,2,,1.0,1.0,3.0,94104,1482316298588
8,740,0.0,3.0,3.0,,145560.0,145560.0,4.0,4.0,2,,3.0,3.0,10.0,94107,1482265398327
8,138,,4.0,4.0,,10000.0,10000.0,72.0,72.0,2,,3.0,3.0,6.0,94103,1491925164847
8,33,,3.0,3.0,,15000.0,15000.0,6.0,6.0,0,,5.0,5.0,6.0,94103,1486367249292
3,1,,43.0,43.0,,20700.0,,0.0,0.0,2,,1.0,1.0,6.0,94105,475036164604
8,112,,3.0,3.0,,1.0,1.0,4.0,4.0,2,,5.0,5.0,10.0,94124,1485015508312
8,44,,42.0,42.0,,1.0,145000.0,,,2,,1.0,1.0,3.0,94104,148218167101
8,1914,0.0,3.0,3.0,,40000.0,55000.0,6.0,6.0,2,,5.0,5.0,9.0,94103,1481065422423
8,3420,,2.0,2.0,,25000.0,25000.0,2.0,2.0,0,,5.0,5.0,2.0,94123,148513684456
8,999,,4.0,4.0,,5000.0,5000.0,,,2,,2.0,2.0,6.0,94103,1488832167593
8,415,,63.0,63.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1482879495332
8,3278,,3.0,3.0,,5000.0,8000.0,2.0,2.0,2,,5.0,5.0,9.0,94110,1491065161801
8,650,,4.0,4.0,,173800.0,173800.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1488125167599
8,235,,25.0,25.0,,3500.0,3500.0,,,2,,1.0,1.0,3.0,94104,148231466161
8,1490,,4.0,4.0,,70000.0,210000.0,15.0,15.0,2,,5.0,5.0,7.0,94112,1492065154673
8,425,0.0,26.0,26.0,,22500.0,22500.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1487840298601
8,1455,,,12.0,,1.0,1.0,,,2,,,1.0,6.0,94158,1487966504722
8,100,,33.0,33.0,,7060.0,86000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,148073066079
8,50,,42.0,42.0,,1555265.0,1555265.0,,,2,,1.0,1.0,6.0,94105,1491983164581
8,299,0.0,15.0,15.0,,5000.0,9800.0,414.0,414.0,2,,1.0,1.0,6.0,94105,1488115480964
8,534,,2.0,2.0,,25000.0,25000.0,0.0,0.0,2,,5.0,5.0,6.0,94107,1481762425360
8,250,0.0,17.0,17.0,,42000.0,42000.0,,,2,,1.0,1.0,3.0,94104,1480870298316
8,1161,,5.0,5.0,,10000.0,10000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1485846165055
8,1433,,,8.0,,25000.0,500000.0,,40.0,2,,,1.0,3.0,94109,149197778416
8,325,,3.0,3.0,,100000.0,262000.0,,,2,,3.0,3.0,6.0,94107,1488334166135
3,121,,24.0,24.0,,6000000.0,6000000.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1487874436366
8,435,,3.0,3.0,,35000.0,42000.0,2.0,2.0,2,,5.0,5.0,5.0,94117,1480771426071
3,1342,0.0,4.0,4.0,,100000.0,100000.0,8.0,8.0,2,,5.0,5.0,3.0,94108,1488917297227
8,199,,2.0,2.0,,50000.0,50000.0,,,2,,3.0,3.0,8.0,94114,1490025489122
8,1160,,4.0,4.0,,46774.0,60153.0,0.0,0.0,2,,1.0,1.0,3.0,94111,148006059145
8,101,,1.0,1.0,,38000.0,38000.0,0.0,0.0,2,,5.0,5.0,10.0,94124,1488820184363
8,1912,,3.0,3.0,,40000.0,55000.0,6.0,6.0,2,,5.0,5.0,9.0,94103,1481064285021
8,299,0.0,17.0,17.0,,5000.0,10139.0,414.0,414.0,2,,1.0,1.0,6.0,94105,1482247480964
8,435,0.0,2.0,2.0,,1.0,1.0,,,2,,5.0,5.0,6.0,94107,1489153481923
8,101,,20.0,20.0,,9015.0,9015.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1484645368933
8,845,,9.0,9.0,,3500.0,3500.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1488525448478
