Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Occupancy,Proposed Occupancy,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Last Permit Activity Date,Application Submission Method,ADU,Primary Address Flag,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Point Source,Record ID,data_as_of,data_loaded_at
201810233877,8,otc alterations permit,10/23/2018,0311,008,88,,Kearny,St,,,19th flr - mech & ele to support approved arch. no fsds ref 201809170436  maher na,complete,03/15/2019 12:07:51 PM,10/23/2018 09:57:42 AM,10/23/2018 01:45:10 PM,03/15/2019 12:07:51 PM,,,21,21,,,65000,65000,office,,office,,2,,"B,M","B,M",1,constr type 1,1,constr type 1,,10/23/2018 01:39:23 PM,in-house,N,Y,3,Financial District/South Beach,94108,POINT (-122.40346 37.788536),eas_address_point,1529040495355,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809251301,8,otc alterations permit,09/25/2018,3528,011,550,,10th,St,,,occupy building in existing condition. connect 3d printing machines.existing sprinkler system to remain; maher na,issued,11/05/2018 01:17:35 PM,09/25/2018 09:49:55 AM,11/05/2018 01:17:35 PM,,,,2,2,,,1,1,manufacturing,0,manufacturing,0,2,,"F-1,B,S-1","F-1,B,S-1",3,constr type 3,3,constr type 3,,11/05/2018 01:09:39 PM,in-house,N,Y,6,Mission,94103,POINT (-122.40911 37.769497),eas_address_point,1525264156870,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201411171674,8,otc alterations permit,11/17/2014,5258,026,1415,,Hudson,Av,,,install (34) new sprinklers per nfpa #13-d & (n) underground piping. t.i. pa#201308235141,complete,07/08/2015 04:28:02 PM,11/17/2014 12:13:31 PM,11/24/2014 01:53:25 PM,07/08/2015 04:28:02 PM,,,,3,,Y,8000,10200,vacant lot,0,1 family dwelling,1,2,,NA,R-3,,,5,wood frame (5),,11/24/2014 01:49:07 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.38501 37.737892),eas_address_point,1362608386640,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201810092499,8,otc alterations permit,10/09/2018,3709,014,425,,Market,St,,,"17rh flr - fire alarm -  add 14 speaker/strobes, 14 strobes ref 201807023466  maher na",complete,10/24/2018 12:01:25 PM,10/09/2018 07:35:23 AM,10/09/2018 08:23:51 AM,10/24/2018 12:01:25 PM,,,38,38,,Y,16570,16570,office,,office,,2,,"B,M,A-2","B,M,A-2",1,constr type 1,1,constr type 1,,10/09/2018 08:21:05 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.398125 37.791122),eas_address_point,1527064164577,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201411171667,8,otc alterations permit,11/17/2014,5258,027,1411,,Hudson,Av,,,install (34) new sprinklers per nfpa #13-d & (n) underground piping. t.i. pa#201308235140,complete,07/08/2015 04:27:28 PM,11/17/2014 12:08:38 PM,11/24/2014 01:59:22 PM,07/08/2015 04:27:28 PM,,,,3,,Y,8000,10200,vacant lot,0,1 family dwelling,1,2,,NA,R-3,,,5,wood frame (5),,11/24/2014 01:55:21 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.384926 37.737846),eas_address_point,1362606386639,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809200852,8,otc alterations permit,09/20/2018,3708,175,575,,Market,St,,,"fire alarm work for the ""suite 2950"" remodel on floor 29; additions are 2 duct detector, 13 speaker/strobe, and 1 strobe. ref pa #201807315971. maher na.",complete,10/01/2018 09:30:19 AM,09/20/2018 07:40:37 AM,09/20/2018 08:42:18 AM,10/01/2018 09:30:19 AM,,,40,40,,Y,11960,11960,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,09/20/2018 08:37:45 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.40051 37.789696),eas_address_point,1524603507760,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201810102717,8,otc alterations permit,10/10/2018,0289,003,1,,Sansome,St,,,fire alarm ti on 37th fl: 1 new speaker to existing floor speaker circuit. 13 new speaker strove to existing strove and speaker circuit. ref pa #201809059143. maher na,complete,11/26/2018 01:08:54 PM,10/10/2018 08:00:15 AM,10/10/2018 09:30:17 AM,11/26/2018 01:08:54 PM,,,43,43,,Y,10000,10000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,10/10/2018 09:29:01 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40094 37.790485),eas_address_point,152736367085,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
200107032944,4,sign - erect,07/03/2001,3532,014,299,,Valencia,St,,,erect a non-electric double faced sign,complete,04/23/2002 12:00:00 AM,07/03/2001 03:47:07 PM,10/23/2001 03:19:24 PM,04/23/2002 12:00:00 AM,,,0,,,,45000,45000,parking lot,0,,,2,,NA,,,,,,,10/17/2001 09:52:13 AM,in-house,N,Y,9,Mission,94103,POINT (-122.421745 37.76834),eas_address_point,881812156946,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201811014691,4,sign - erect,11/01/2018,3512,001,1600,,Mission,St,,,install 2 new sign faces only on a non illuminates pylon sign  maher na,complete,11/08/2019 03:32:54 PM,11/01/2018 07:41:02 AM,11/29/2018 01:25:56 PM,11/08/2019 03:32:54 PM,,,1,,,,4000,4000,office,,,,2,,B,,5,wood frame (5),,,,11/29/2018 01:19:37 PM,in-house,N,Y,6,Mission,94103,POINT (-122.419235 37.77238),eas_address_point,1530181156443,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201407151273,8,otc alterations permit,07/15/2014,0831,023,325,,Octavia,St,,,evacuation signs ( 23 signs),complete,02/10/2017 10:26:51 AM,07/15/2014 10:00:13 AM,07/16/2014 10:13:10 AM,02/10/2017 10:26:51 AM,,,0,5,,Y,6900,6600,vacant lot,0,apartments,182,2,,NA,"R-2,S-2,A-3",,,3,constr type 3,,07/16/2014 10:05:08 AM,in-house,N,Y,5,Hayes Valley,94102,POINT (-122.42459 37.775024),eas_address_point,1348904489797,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201407282350,8,otc alterations permit,07/28/2014,4228,158,1275,,Indiana,St,,,ref. permit #2002.1224.4171. as builts to reflect change in operational matrix from 2nd floor to 1st floor for alt. recall. n/a ordinance #155-13.,complete,08/28/2014 02:19:40 PM,07/28/2014 03:06:19 PM,07/28/2014 03:49:21 PM,08/28/2014 02:19:40 PM,,,,5,,Y,1,1,vacant lot,0,apartments,39,2,,NA,"B,M,R-2",,,1,constr type 1,,07/28/2014 03:43:12 PM,in-house,N,Y,10,Potrero Hill,94107,POINT (-122.39066 37.754307),eas_address_point,1350327460740,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
200510206075,3,additions alterations or repairs,10/20/2005,0725,026,1597,,Ellis,St,,,"installation of tiebacks under property. part of addendum #1 for site permit#200409235044. please route to willy yau through bill bigarani at pcd.shares plan with appl#200509142812,200511027208.",expired,04/27/2007 12:00:00 AM,10/20/2005 09:38:37 AM,11/10/2005 04:38:57 PM,,,,0,0,,,1,1,vacant lot,0,vacant lot,0,2,,NA,NA,,,,,,11/10/2005 04:36:29 PM,in-house,N,Y,5,Western Addition,94115,POINT (-122.43223 37.7824),eas_address_point,103290780528,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201406249282,8,otc alterations permit,06/24/2014,0228,038,475,,Sansome,St,,,"full floor tenant improvement including selective demo, security devices, partitions, lighting. mep, life safety under sep permit. na for maher.",complete,12/05/2014 03:13:28 PM,06/24/2014 12:39:53 PM,06/25/2014 01:09:58 PM,12/05/2014 03:13:28 PM,,,21,21,,,850000,1000000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,06/25/2014 01:06:23 PM,in-house,N,Y,3,Chinatown,94111,POINT (-122.40195 37.79471),eas_address_point,134641963342,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
200511027208,3,additions alterations or repairs,11/02/2005,0725,030,1401,,Fillmore,St,,,"installation of temporary shoring tiebacks underneath driveway. part of site permit addenda #1 for permit applic. #2004/09/23/5044 (1300 fillmore).sharing plans with appl#200509142812,200510206075",expired,07/13/2006 12:00:00 AM,11/02/2005 01:56:50 PM,11/10/2005 04:31:41 PM,,,,0,0,,,1,1,vacant lot,0,vacant lot,0,2,,NA,NA,,,,,,11/10/2005 04:30:28 PM,in-house,N,Y,5,Western Addition,94115,POINT (-122.43269 37.78252),eas_address_point,103441980530,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808147270,8,otc alterations permit,08/14/2018,0467A,005,3575,,Fillmore,St,0,,seismic soft story to comply with sfebc 4d mandatory seismic retrotfit per 2016 cebc appx a4  maher na,withdrawn,09/21/2023 10:06:30 AM,08/14/2018 10:47:15 AM,,,,,4,4,,,110000,110000,apartments,18,apartments,18,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,09/21/2023 10:05:28 AM,in-house,N,Y,2,Marina,94123,POINT (-122.43706 37.8025),eas_address_point,1519491413765,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808066459,8,otc alterations permit,08/06/2018,0230,028,1,,Embarcadero Center,,,,"23rd flr - fire alarm foir ""frank rimmerman phase c"" add 1 smk det. 15 speaker/strobes 13 speakers and 1 strobe. maher na ref 201804257360",complete,10/19/2018 03:32:59 PM,08/06/2018 07:40:30 AM,08/07/2018 08:46:01 AM,10/19/2018 03:32:59 PM,,,45,45,,Y,18400,18990,office,,office,,2,,"B,M,S-2","B,M,S-2",1,constr type 1,1,constr type 1,,08/07/2018 08:40:42 AM,in-house,N,Y,3,Financial District/South Beach,94126,POINT (-122.399644348 37.794642879),parcel_centroid,151835763347,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201404233981,8,otc alterations permit,04/23/2014,1098,050,350,,Saint Josephs,Av,,,"installation of it racks, ladder racks, ups replacement and mechanical split system. na for maher ordiance.",complete,10/02/2014 02:36:18 PM,04/23/2014 01:35:16 PM,04/24/2014 08:33:30 AM,10/02/2014 02:36:18 PM,,,1,1,,,8960,8900,office,0,office,0,2,,B,B,3,constr type 3,3,constr type 3,,04/24/2014 08:28:36 AM,in-house,N,Y,2,Western Addition,94115,POINT (-122.441864 37.782623),eas_address_point,1339618490502,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201807184809,8,otc alterations permit,07/18/2018,3721,089,101,,02nd,St,,,"suite 700: electrical work for ti to consist new lighting, power & signal, wiring, lighting & controls. ref pa #201805048233. maher na",issued,07/18/2018 11:43:28 AM,07/18/2018 08:03:07 AM,07/18/2018 11:43:28 AM,,,,26,26,,,20000,200000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,07/18/2018 11:34:42 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39915 37.78808),eas_address_point,1516068451384,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201403211321,8,otc alterations permit,03/21/2014,0267,015,235,,Pine,St,,,"16/f: provide & install new (4) speaker, (3) strobes, (1) smoke detector, (2) duct detectors & (1) relay. na ordinance #155-13. t.i. 2013.1106.1248",complete,03/31/2014 10:37:29 AM,03/21/2014 08:13:12 AM,03/21/2014 01:40:43 PM,03/31/2014 10:37:29 AM,,,24,24,,Y,10000,10000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,03/21/2014 01:38:25 PM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40028 37.791904),eas_address_point,133618266161,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201403201247,8,otc alterations permit,03/20/2014,4991,277,869,,Jamestown,Av,,,"ref. to pa#200103235135, install a solar/hot water heating system, system consists of 6 roof mounted collectors, a ground-mounted water storage tank and a heat exchanger.",complete,03/13/2015 02:29:49 PM,03/20/2014 11:43:33 AM,03/20/2014 02:07:25 PM,03/13/2015 02:29:49 PM,,,,4,,,50000,60000,vacant lot,0,apartments,8,2,,NA,R-2,,,5,wood frame (5),,03/20/2014 01:57:43 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.39222 37.717175),eas_address_point,1336091436502,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201405085239,8,otc alterations permit,05/08/2014,3923,006,1550,,Bryant,St,,,fire alarm. inspector requested change on plans to system matrix. global shutdown of all fan units. na for maker.,complete,05/12/2014 03:31:41 PM,05/08/2014 12:24:01 PM,05/08/2014 02:41:07 PM,05/12/2014 03:31:41 PM,,,12,12,,Y,6000,6000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,05/08/2014 02:38:41 PM,in-house,N,Y,9,Mission,94103,POINT (-122.41114 37.767563),eas_address_point,1341218168058,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808106974,8,otc alterations permit,08/10/2018,3783,008,600,,Townsend,St,,,5th fl electrocal only: provide new lighting and branch circuiting to (e) and new panels.  provide ca title 24 compliance forms. ref #201804186646. maher na,issued,08/24/2018 11:15:18 AM,08/10/2018 07:33:41 AM,08/24/2018 11:15:18 AM,,,,5,5,,,546000,546000,office,,office,,2,,"B,A-3","B,A-3",1,constr type 1,1,constr type 1,,08/24/2018 11:04:05 AM,in-house,N,Y,6,South of Market,94103,POINT (-122.40268 37.771706),eas_address_point,1520894167600,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201403191135,8,otc alterations permit,03/19/2014,0646,016,1500,,Van Ness,Av,,,"fire sprinkler permit, relocate 79 and add 20 pendents, delete 4 pendents and relocate 1 sidewall on floors 1 and 6. na ordinance #155-13",complete,02/03/2015 02:52:24 PM,03/19/2014 11:38:13 AM,03/21/2014 01:14:35 PM,02/03/2015 02:52:24 PM,,,25,25,,Y,51400,52922,tourist hotel/motel,500,tourist hotel/motel,500,2,,"R-1,M,A-2","R-1,M,A-2",1,constr type 1,1,constr type 1,,03/21/2014 01:11:12 PM,in-house,N,Y,3,Nob Hill,94109,POINT (-122.42168 37.78983),eas_address_point,133593577549,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201807235208,8,otc alterations permit,07/23/2018,3507,040,1455,,Market,St,,,"6th fl: mep for tenant improvement.  demo existing ductwork & vav box, new vav box duct work & diffusers. new electrical work. ref pa #201807104082. maher na",complete,05/14/2019 03:18:18 PM,07/23/2018 09:40:15 AM,08/01/2018 10:33:12 AM,05/14/2019 03:18:18 PM,,,22,22,,,15000,15000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,08/01/2018 10:30:36 AM,in-house,N,Y,6,South of Market,94103,POINT (-122.418045 37.775856),eas_address_point,1516639394002,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201404173493,8,otc alterations permit,04/17/2014,3553,054,400,,South Van Ness,Av,,,15 evacuation signs from basement/garage through roof. n/a to ordinance #155-13.,complete,05/28/2014 01:01:24 PM,04/17/2014 12:03:16 PM,04/17/2014 02:43:19 PM,05/28/2014 01:01:24 PM,,,,5,,Y,3900,4500,vacant lot,0,apartments,40,2,,NA,"R-2,A-2,S-1",,,1,constr type 1,,04/17/2014 02:40:40 PM,in-house,N,,9,Mission,94103,POINT (-122.417978926 37.766540424),parcel_centroid,1339000158058,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201403170904,8,otc alterations permit,03/17/2014,7535,102,1738,,Diamond,St,,,install new sprinkler system throughout with (37) sprinklers per nfpa #13-d.  includes 13' of (n) underground piping.,issued,03/24/2014 02:23:35 PM,03/17/2014 11:23:55 AM,03/24/2014 02:23:35 PM,,,,,3,,Y,10000,20000,vacant lot,,1 family dwelling,1,2,,NA,R-3,,,5,wood frame (5),,03/24/2014 02:20:15 PM,in-house,N,Y,8,Noe Valley,94131,POINT (-122.43575 37.743595),eas_address_point,1335640454366,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201807315959,8,otc alterations permit,07/31/2018,0240,007,580,,California,St,0,,"20th floor - add 1 speaker, relocate 5 strobes maher na",complete,10/01/2018 09:17:05 AM,07/31/2018 07:37:02 AM,07/31/2018 08:26:23 AM,10/01/2018 09:17:05 AM,,,23,23,,Y,2000,2000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,07/31/2018 08:22:23 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40414 37.79297),eas_address_point,1517667296596,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808318847,8,otc alterations permit,08/31/2018,3720,009,415,,Mission,St,,,"38th flr - fire alarm for ""wework"" add 3 smk det, 9 duct det, 1 strobe power supply, 6 modules, 3 speakers, 35 speaker/strobes and 7 strobes ref 201801108256 maher na",complete,11/06/2018 03:45:41 PM,08/31/2018 07:35:39 AM,09/24/2018 07:35:55 AM,11/06/2018 03:45:41 PM,,,63,63,,Y,71150,48670,office,,office,,2,,"B,M,S-2","B,M,S-2",1,constr type 1,1,constr type 1,,09/24/2018 07:34:18 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.397095 37.789936),eas_address_point,1521797495332,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808076626,8,otc alterations permit,08/07/2018,8711,023,1101,,04th,St,,,"ti to (e) market. (n) entrance. (n) ada ramp from (e) parking. (n) partitions at meat department. remodel coffee/bar area. replace refrigerated display cases. relocate lights & fixtures. modifications to (e) salesfloor shelving, checkstands & bulk fixtures. (n) coolers. maher na",complete,01/16/2019 03:13:27 PM,08/07/2018 10:08:15 AM,10/18/2018 03:52:31 PM,01/16/2019 03:13:27 PM,,,8,8,,,190000,430000,retail sales,315,retail sales,315,2,,"M,R-2,A-2","M,R-2,A-2",1,constr type 1,1,constr type 1,,10/18/2018 03:46:03 PM,in-house,N,Y,6,Mission Bay,94158,POINT (-122.39145 37.774296),eas_address_point,1518578475573,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808288555,8,otc alterations permit,08/28/2018,3720,009,415,,Mission,St,,,"38th flr - revision to 201804247247 mechanical only. m2-336 underfloor - fpb remove x2, m-436 smk exhaust directional arrows added, 2 fsd added md chanes to ass ef+ag changed m2-900-existing smk control matrix deleted to e replaces notes added per project smk control engineer maher na",complete,07/21/2021 11:24:38 AM,08/28/2018 12:08:22 PM,08/30/2018 03:00:16 PM,07/21/2021 11:24:38 AM,,,61,61,,,1000,1000,office,,office,,2,,"B,A-2,S-2","B,A-2,S-2",1,constr type 1,1,constr type 1,,08/29/2018 10:58:38 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.397095 37.789936),eas_address_point,1521362495332,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808096864,8,otc alterations permit,08/09/2018,0233,044,4,,Embarcadero Center,,,,"27th flr - fire alarm ""drinker biddle"" add 4 smk dets, 3 duct dets, 14 speakers, 31 speaker/strobes and 4 strobes. maher na ref#201805189519",complete,10/16/2018 11:23:25 AM,08/09/2018 07:34:48 AM,08/09/2018 09:20:32 AM,10/16/2018 11:23:25 AM,,,45,45,,Y,38000,38000,office,,office,,2,,"B,M,S-2","B,M,S-2",1,constr type 1,1,constr type 1,,08/09/2018 09:18:09 AM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.396064297 37.795030167),parcel_centroid,151892463351,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201808288511,8,otc alterations permit,08/28/2018,3710,020,333,,Market,St,,,"30th flr - demo (e) offices/finishes. new conference rooms, huddle focus rm and breakroom. remodel, upgrade all light fixtures to led lighting. hvac upgrade for new remodel.  maher na",complete,03/25/2019 03:35:30 PM,08/28/2018 10:16:27 AM,09/19/2018 11:20:52 AM,03/25/2019 03:35:30 PM,,,33,33,,,1400000,1930000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,09/19/2018 11:17:38 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.397675 37.791862),eas_address_point,1521289164589,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201807275794,8,otc alterations permit,07/27/2018,3709,012,455,,Market,St,,,"8th fl: selective demo of non-bearing partitions, ceilings, millworkl, plumbing and finishes per ab-017. maher na",complete,11/01/2018 03:21:08 PM,07/27/2018 02:14:14 PM,08/03/2018 10:42:39 AM,11/01/2018 03:21:08 PM,,,23,23,,,80000,95000,office,0,office,0,2,,"B,S-3","B,S-3",1,constr type 1,1,constr type 1,,08/03/2018 10:39:00 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.398636 37.790947),eas_address_point,1517437164576,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
